link,latitude,longitude,valor,iptu,condominio,area,quartos,banheiros,suites,vagas
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-134m2-venda-RS680000-id-2442014783/,-8.127518,-34.898142,R$ 680.000,,R$ 942,134,3,3,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-136m2-venda-RS775000-id-1040378152/,-8.109744,-34.897566,R$ 775.000,,R$ 600,136,4,4,2 suítes,2
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-167m2-venda-RS1500000-id-2443047791/,-8.1205,-34.898148,R$ 1.500.000,R$ 6.500,R$ 936,167,4,6,4 suítes,3
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-135m2-venda-RS415000-id-2429151976/,-8.130808,-34.903129,R$ 415.000,R$ 174,R$ 770,135,3,3,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-91m2-venda-RS615000-id-2446047892/,-8.121509,-34.898536,R$ 615.000,Não informado,Não informado,91,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-150m2-venda-RS550000-id-2440433225/,-8.112511,-34.89226,R$ 550.000,R$ 2.900,R$ 850,150,3,1,,2
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-130m2-venda-RS650000-id-2445714211/,-8.126113,-34.906701,R$ 650.000,Não informado,Não informado,130,4,4,2 suítes,2
https://www.vivareal.com.br/imoveis-lancamento/morada-pio-ix-7034/,-8.045452,-34.911148,R$ 327.200,,,60,3,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-90m2-venda-RS400000-id-2445897685/,-8.106987,-34.887871,R$ 400.000,,R$ 970,90,3,3,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-62m2-venda-RS300000-id-2438118973/,-8.12494,-34.906874,R$ 300.000,R$ 126,R$ 410,62,2,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-80m2-venda-RS250000-id-1038464350/,-8.127117,-34.90237,R$ 250.000,R$ 820,R$ 750,80,2,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-100m2-venda-RS330000-id-2444899007/,-8.125823,-34.905061,R$ 330.000,,R$ 725,100,3,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-47m2-venda-RS276000-id-1040293993/,-8.118685,-34.901205,R$ 276.000,Não informado,Não informado,47,2,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-130m2-venda-RS700000-id-92779907/,-8.14556,-34.905945,R$ 700.000,R$ 1.500,R$ 1.000,130,3,2,1 suíte,1
https://www.vivareal.com.br/imoveis-lancamento/edificio-praca-das-acacias-1039022851/,-8.048981,-34.895194,R$ 279.000,,,48,2,1,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-82m2-venda-RS460000-id-94152499/,-8.140113,-34.904222,R$ 460.000,R$ 1.200,R$ 880,82,2,,,1
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-55m2-venda-RS449000-id-1040825063/,-8.113876,-34.899148,R$ 449.000,Não informado,Não informado,55,2,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-97m2-venda-RS635000-id-1040823586/,-8.114722,-34.901409,R$ 635.000,Não informado,Não informado,97,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-178m2-venda-RS1400000-id-2443911773/,-8.101466,-34.886339,R$ 1.400.000,Não informado,Não informado,178,4,4,3 suítes,3
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-110m2-venda-RS570000-id-2439058294/,-34.906818,-8.120417,R$ 570.000,,R$ 820,110,3,2,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-180m2-venda-RS990000-id-2439800918/,-8.098346,-34.884798,R$ 990.000,R$ 300,R$ 1.200,180,4,4,2 suítes,3
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-220m2-venda-RS1000000-id-2444836405/,-8.107892,-34.888366,R$ 1.000.000,Não informado,Não informado,220,3,1,3 suítes,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-130m2-venda-RS470000-id-1042713555/,-8.134185,-34.904103,R$ 470.000,,R$ 1.100,130,3,3,1 suíte,1
https://www.vivareal.com.br/imoveis-lancamento/reserva-villa-natal-pitangueiras-8181/,-8.110621,-35.000408,R$ 144.170,,,43,2,1,,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-84m2-venda-RS730000-id-2444200192/,-8.115011,-34.898948,R$ 730.000,R$ 2.500,R$ 490,84,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-124m2-venda-RS720801-id-1041068044/,-8.11681,-34.897658,R$ 720.801,Não informado,Não informado,124,4,4,2 suítes,3
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-84m2-venda-RS300000-id-1536495479/,-8.122435,-34.899785,R$ 300.000,,R$ 475,84,3,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-69m2-venda-RS350000-id-2445798951/,-8.137974,-34.909351,R$ 350.000,Não informado,Não informado,69,3,1,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-63m2-venda-RS430000-id-2445714301/,-8.133595,-34.90904,R$ 430.000,Não informado,Não informado,63,3,3,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-95m2-venda-RS600000-id-2436272290/,-8.11681,-34.897658,R$ 600.000,Não informado,Não informado,95,3,3,1 suíte,2
https://www.vivareal.com.br/imoveis-lancamento/morada-larga-do-feitosa-7035/,-8.035846,-34.885773,R$ 396.300,,,51,3,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-163m2-venda-RS460000-id-2446507792/,-8.120762,-34.896941,R$ 460.000,Não informado,Não informado,163,4,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-189m2-venda-RS900000-id-2436871286/,-8.120548,-34.89638,R$ 900.000,Não informado,Não informado,189,4,2,2 suítes,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-93m2-venda-RS607000-id-1040505443/,-8.141072,-34.908892,R$ 607.000,,R$ 500,93,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-108m2-venda-RS850000-id-2447194506/,-8.114722,-34.896452,R$ 850.000,Não informado,Não informado,108,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-74m2-venda-RS360000-id-2446046482/,-8.125384,-34.908608,R$ 360.000,R$ 1.600,R$ 450,74,3,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-113m2-venda-RS299000-id-2444040689/,-8.116811,-34.893224,R$ 299.000,Não informado,Não informado,113,3,3,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-164m2-venda-RS1250000-id-1037922152/,-8.12026,-34.898174,R$ 1.250.000,R$ 5.500,R$ 950,164,4,5,4 suítes,3
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-120m2-venda-RS680000-id-2436407893/,-8.114849,-34.89194,R$ 680.000,R$ 2.000,R$ 1.100,120,3,2,1 suíte,2
https://www.vivareal.com.br/imoveis-lancamento/morada-das-ubaias-7031/,-8.03064,-34.919149,R$ 452.600,,,59,3,2,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-110m2-venda-RS540000-id-2446112080/,-8.11011,-34.894338,R$ 540.000,,R$ 1.200,110,3,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-89m2-venda-RS550000-id-2445772721/,-8.126162,-34.908747,R$ 550.000,R$ 2.000,R$ 500,89,3,3,1 suíte,
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-70m2-venda-RS319000-id-2439050978/,-34.908231,-8.145382,R$ 319.000,,R$ 549,70,3,2,,1
https://www.vivareal.com.br/imovel/apartamento-1-quartos-boa-viagem-bairros-recife-com-garagem-45m2-venda-RS280000-id-2446201340/,-8.098272,-34.884483,R$ 280.000,Não informado,Não informado,45,1,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-1-quartos-boa-viagem-bairros-recife-com-garagem-49m2-venda-RS255000-id-2432045980/,-8.117739,-34.896352,R$ 255.000,R$ 110,R$ 406,49,1,1,,1
https://www.vivareal.com.br/imovel/apartamento-1-quartos-boa-viagem-bairros-recife-com-garagem-48m2-venda-RS390000-id-2444753576/,-8.147208,-34.908238,R$ 390.000,Não informado,Não informado,48,1,1,1 suíte,1
https://www.vivareal.com.br/imoveis-lancamento/edf-praca-das-casuarinas-2431690484/,-8.031025,-34.896015,R$ 342.000,,,61,3,1,1 suíte,1
